Age [yr],M23323-1_UK37,M23323-1_Foram,V28-14,EW9302-JPC8,ODP 980,NA87-25,V27-20,M23414-9,NEAP18k,V23-82,K708-1,MD04-2845,V29-179,SU92-03,D-117,CH69-K09,V30-97,MD95-2040_UK37,MD95-2040_Foram,SU90-03,MD01-2444_UK37,MD01-2444_MgCa,MD95-2036,KNR140-37JPC,MD02-2575,GIK15637-1,M12392-1,TR126-29,TR126-23,M35027-1,V22-196,V28-127,MD03-2707,V25-59,Y7211-1,ODP1020,ODP1018,MD01-2421,ODP893,ODP1014A,ODP1012,LAPAZ21,ODP1145,ODP1146,MD97-2151,GIK17961-2,V28-238,W8402A,TR163-22,ODP846,V19-29,Y71-6-12,MD06-3018,MD97-2121,RC15-61,ODP1123,MD97-2106,DSDP594,MD97-2120,Y9,MD97-2108,MD97-2109,V34-88,RC12-339,GeoB10038-4_MgCa,GeoB10038-4_UK37,MD01-2378,V28-345,MD94-101,MD84-527,MD94-102,MD73-25,MD88-770_Diatom,MD88-770_Foram,MD02-2488,V22-182_Foram,V22-182_Cocc,ODP 662,GeoB1105_UK37,GeoB1105_Foram,GeoB1105_MgCa,RC13-205_Foram,RC13-205_Radiolaria,GeoB1112_MgCa,GeoB1112_Foram,V22-38_Foram,V22-38_Cocc,V22-174_Foram,V22-174_Cocc,RC13-228_Foram,RC13-228-228_Cocc,RC13-228_Radiolaria,GeoB1711-4,GeoB1710-3,RC13-229_Foram,RC13-229_Radiolaria,RC11-86_Foram,RC11-86_Cocc,MD96-2080,RC12-294_Foram,RC12-294_Cocc,ODP 1089_UK37,ODP 1089_Radiolaria,PS2489-2
115000,3.89153743204259,10.2054662918707,4.92744878679523,9.64943070133852,12.1853987128864,13.228095805168,7.82907890351863,9.54663963264351,9.49544353903047,10.1717208266116,12.0327090813257,18.1671805464269,15.0834543504878,16.5109399181519,13.8453092848244,19.3422405881948,15.8547488488599,17.1863668913396,16.3289358640693,21.1243124102708,17.6390811757668,20.99723099586,24.4075047283097,27.5522907074659,25.8911919250782,20.8331447808597,16.5916124325389,25.531782243512,25.2311104075834,25.6610343963262,21.0445280753102,25.8760296174854,26.3531679932372,25.3751299188975,11.0605107253986,9.58074089407622,12.5770956741383,20.3482430284379,15.0844792922474,16.0354855562118,17.0470160997904,25.5656009315623,22.5012368051315,25.5622982086225,27.2859243048452,28.0651340561435,,26.8112584632197,21.2005472508329,22.6151117538845,18.0552021675225,17.4228473226856,27.4363912155707,16.9417593311697,7.77462490516408,15.0983894681003,13.59607011265,8.95172750753556,16.0193348390772,11.4828181055904,8.296802928727,7.42886080310702,25.7110541606097,26.100584286384,27.7021913372217,28.5337960410463,27.7793538643128,26.5939094933006,9.80485634050023,4.67631070110778,9.88566300400141,3.95047230984538,6.52179346878668,5.21485962646408,8.96916636618844,21.9839238625983,23.0439831670421,26.3817877092015,26.7881302622708,21.0655447772665,23.0808816202016,20.4754657652719,22.9552216566,24.7335919974802,22.6629045916966,26.256168541778,25.7789207689767,24.5341805233606,24.5567783677272,15.7689890960385,20.0978346320341,17.7704611897013,20.8184569809758,19.5924701302152,16.6967157904475,21.0371801654132,,,22.2114489272622,15.2880231324466,16.289050601619,20.2711691384981,14.6111339697644,6.43788048380173
115100,4.10278717235783,10.2436018653042,4.99454373453501,9.74605374312233,12.1830745609678,13.2276325913084,7.8911761873092,9.57063106247675,9.50118400345045,10.1595295523102,12.1944189612271,18.3763564571099,15.1731211335901,16.5272010706191,13.8825719162544,19.3499315516348,15.8786164546747,17.1926853292643,16.419955356106,21.1690438595745,17.6592894953906,21.1514659469307,24.3087072503973,27.5836109299723,25.8981170739883,20.8266721144503,16.6732033192376,25.519115547405,25.2357334927271,25.6663476126486,21.0567836803169,25.9110854389612,26.32502225109,25.3768973190145,11.1050865882043,9.59173987266356,12.569238826805,20.3678244867848,15.2081217298332,16.0377105453268,17.0505868530915,25.5848185919099,22.4993587575207,25.5788385542775,27.286062765018,28.0748697004824,,26.8024945007511,21.2204379938541,22.6252361582085,18.1002652670419,17.4251626218194,27.4517698898699,16.9531093941325,7.8343259644025,15.1297821135271,13.6269502743525,8.96731630318293,16.0262193900907,11.5003369327142,8.34050676210285,7.41999205819673,25.7227747037394,26.1208750698758,27.7141720129812,28.5515512101513,27.7875717676578,26.5993773071147,9.81839272177012,4.67794706846074,9.94167485728223,3.9258438688615,6.53748575666597,5.27687539380513,8.93588667030062,21.9848007878176,23.0321205616137,26.3861408528972,26.8017106864583,21.1455690031326,23.1002915292432,20.4709757039596,22.9375521239988,24.7157858946931,22.6512799980064,26.2502357284983,25.7841867681079,24.5309456063468,24.5759142490241,15.8080116168739,20.0632147122851,17.7885281411927,20.8590335079722,19.6236601224778,16.7328377285645,21.0191878487657,16.8447275297538,19.7643604154874,22.207697611834,15.3669250731751,16.2949727795926,20.3213748983433,14.6376231217286,6.45990877036353
115200,4.04701346357494,10.2805210098759,5.04051011304194,9.86042254100925,12.1961090246533,13.3838791139333,7.92919805730271,9.60565773260817,9.5255293965639,10.2192264997928,12.3853179250807,18.5565463748298,15.2483746196583,16.5412656308051,13.9172568026876,19.3762223728315,15.9049376117912,17.1999414722041,16.4853514368447,21.1758853315027,17.698920718073,21.2033772596525,24.2575524535206,27.5545896283815,25.9112245450865,20.83796567661,16.7267653681587,25.509976065209,25.2262237691699,25.6833263447177,21.0730893333479,25.9349402977498,26.3548247448953,25.3702796628952,11.1007722130009,9.60941052769734,12.5733626242282,20.3891743356789,15.3382470568995,16.0481487318012,17.0638953172873,25.6071173243328,22.5182407625963,25.6012921747943,27.3310398336676,28.0860098332861,,26.7941181360033,21.2414444811745,22.6306520077832,18.1247752916284,17.3734046660646,27.4586088102865,16.9621199468648,7.87760495799644,15.1647309788829,13.572995648961,8.99280403634736,16.0314155075995,11.4713303989206,8.36146283068075,7.43231918146876,25.7125011969769,26.1280355504064,27.7362001522254,28.5555885028813,27.7812800427934,26.6016836428135,9.84047394698519,4.68738807716991,9.98588600480428,3.95030436051174,6.56509713581942,5.31131778281999,8.96634538160226,21.9860172092486,23.0520229723218,26.3944386475368,26.8057367171899,21.22223357431,23.1255223777438,20.4440872972709,22.924203217765,24.7100992470141,22.6543021478892,26.2552832047219,25.7673956920619,24.525193135345,24.5789660884897,15.7955313316972,20.0387894107955,17.7425889135483,20.8777159035201,19.6444464836952,16.7563524876451,21.0143475234676,16.8096649716127,19.802073000331,22.2214135806896,15.4373348366712,16.3322458510309,20.3677730669416,14.6527973667527,6.47034219348746
115300,4.00189151406859,10.2634427475972,5.110593895626,9.99052742867903,12.1745975107251,13.4173261536564,7.96937089239133,9.62386623850425,9.64908759643095,10.2522604250348,12.5353446018948,18.6900169464948,15.3318560526654,16.5400017285267,13.9573040825885,19.3418871844227,15.926833799021,17.2138321791605,16.5738774196902,21.2253232844629,17.748171186692,21.1776849850469,24.2540379434414,27.5673832557548,25.931962656253,20.8276274340834,16.7906207397256,25.500236335616,25.2323105471359,25.7023615493604,21.0523424985806,25.9667811552367,26.2703053686656,25.3897145970199,11.1293405785831,9.62780344815457,12.5677368576908,20.3932987909972,15.454688060905,16.0549213464944,17.0918949515166,25.6261203444068,22.5182912330598,25.6254521120001,27.3328068504098,28.0951222578758,,26.7829771237425,21.2436227820053,22.6425803600318,18.1661175680682,17.3879039873545,27.4690691919534,16.9562604448453,7.9094480848098,15.1947326917316,13.522307745304,9.01683053191753,16.044651683515,11.467874050363,8.37022051843705,7.43748333364092,25.7142719809263,26.122405003209,27.7513302354661,28.5690966763763,27.8454699025803,26.5946246771117,9.86791933329261,4.68657465597808,10.052807196133,3.96589570628843,6.57782328364341,5.37631262158133,8.96655655535693,21.9764421406946,23.0336083244475,26.3979023647558,26.7988995223581,21.2988523540509,23.1438693109886,20.4386300829462,22.9012110307628,24.6953320491068,22.6531772203687,26.2541576867017,25.7588659171824,24.512865604403,24.5721874587398,15.8141355652864,20.0460098396135,17.7872503235221,20.9103458690153,19.6735952408263,16.7965344804938,21.0098617620388,16.7851352930839,19.8441293705991,22.2290263129843,15.4863290010677,16.3243551492996,20.4085768553166,14.6594953788935,6.47384044442529
115400,3.98436123192522,10.3064732776248,5.19549279809765,10.0943595524425,12.1354005902805,13.4900474871498,8.01349631807193,9.64435204265004,9.72744138900529,10.2769460239756,12.6999684097761,18.8357352455601,15.4323604807239,16.557331294188,14.0084239007653,19.3413032935012,15.9283223083417,17.2197175603217,16.6190013486446,21.2482367104067,17.7793603693055,21.1641874763867,24.2423974911633,27.5342553240964,25.9564223954207,20.8152169546243,16.8774152550613,25.5062804955833,25.2472387328698,25.7160632882913,21.0582253647449,25.9884790999836,26.3211758915924,25.3839845977375,11.1165375582182,9.6476950737174,12.5253438705424,20.3731361966958,15.5793059542433,16.0522999407461,17.1218754740651,25.628491553036,22.5071670203617,25.6530745184285,27.3782828170207,28.1068567325657,,26.77192159692,21.2316896982148,22.6426191515886,18.1975874568141,17.3709792950578,27.4807970466822,16.9624464864601,7.95989525413251,15.23120275651,13.5161398121775,9.03718537023851,16.0516914035456,11.428095527108,8.40577025377691,7.48065614970325,25.7126075766117,26.1373590342548,27.7744606850716,28.565913744298,27.8531064865402,26.5882240577261,9.884997395868,4.6951778609358,10.1117131613176,3.95591212293274,6.60314207333234,5.44621121134911,8.96599124235307,21.9756820835877,23.0260659432304,26.3995751410844,26.7808456776651,21.3654739080148,23.1538551560842,20.4534539381115,22.905599748163,24.6924832541039,22.6414840336264,26.249528819764,25.7299547021365,24.5091585976891,24.5682544028935,15.8146648009857,20.0019627012457,17.8154600242266,20.9538300733357,19.7038125957924,16.8382033754309,20.9975193758702,16.768617491137,19.8895084075241,22.2422648640533,15.5523746803236,16.3314236633618,20.4534300628845,14.6986056144008,6.48184708686273
115500,3.94062177618224,10.3603338340208,5.28258603162486,10.1230132587339,12.1226038155352,13.5659127532607,8.04526555689212,9.65825416285648,9.81646571535613,10.2941814289275,12.8214500734771,18.9381619690638,15.4935058890324,16.5638451938397,14.0603998673428,19.3173436623554,15.9501914416101,17.2359662604259,16.6734268203551,21.2371644072436,17.8046961480069,21.1880022559214,24.3165295593808,27.5168323483373,25.9649122995566,20.8199187894665,16.934958503943,25.5027832713916,25.2574569670089,25.7165198653514,21.0607914576476,26.0158842852879,26.2806260085083,25.3892839765834,11.1220235806265,9.66580483319771,12.4212638786006,20.3551905071436,15.687728448133,16.0482508691973,17.1484319877404,25.6556920322373,22.4918704802624,25.6674712137749,27.4009613395312,28.1120512954493,,26.7685893762335,21.2130886108256,22.6480004850769,18.2325927862078,17.3603393699673,27.4912385889113,16.9560915695141,8.00481537863661,15.2377989253799,13.5251937834498,9.05094759427528,16.0596876612215,11.4532305128022,8.42310054961767,7.51733905904179,25.706357939561,26.1343364482137,27.7861311842721,28.5485699698662,27.8358001715561,26.5769061122535,9.89065714579077,4.70142675100692,10.1582810056577,3.95121858971441,6.60922866409211,5.47913732298182,9.02020140298136,21.9721602702849,23.0075897903828,26.4058415921313,26.7908603496918,21.4132956781914,23.1713878623642,20.450642760068,22.894752665981,24.6782782749945,22.6371382301129,26.245649414734,25.7307244142297,24.5009711481706,24.5789452640158,15.8109502745858,19.9617184411874,17.8452619059705,20.974090247014,19.7440378375705,16.8837036274399,20.9965412540185,16.7629325427198,19.9179207011939,22.2614982012801,15.5728541439943,16.3493374475941,20.5089550924409,14.7048418434372,6.50693233925407
115600,3.98316089408788,10.3875615230883,5.36529014103553,10.2143707050712,12.1736336855301,13.517235267959,8.09003392458379,9.68212409767191,9.89342967809703,10.3419489395656,12.9212559687631,19.0390920736545,15.5840587739329,16.5643967714848,14.1145942499074,19.3039009552144,15.9442199161732,17.2453914205021,16.7680891419932,21.3006958957452,17.8590981560588,21.2593899147042,24.2737258476987,27.5103406251713,26.0037502815064,20.8251571661853,17.0253094426758,25.5005781959212,25.2615688293701,25.7093000578349,21.0594474548766,26.0431855811986,26.1256645191845,25.3930909214629,11.0965729541255,9.68401927841688,12.3865512323602,20.3843729838754,15.7968866367739,16.0523063333467,17.1633267640227,25.6812010495745,22.5065053407055,25.6823926408517,27.4132062227447,28.1222351571426,,26.7554323252873,21.2046822107962,22.647027653295,18.2682312640293,17.3688618074058,27.4937671231185,16.9771133632876,8.0460534783867,15.2509663125649,13.6173411711466,9.06637423860243,16.0632935988872,11.4566102412945,8.46480137634791,7.57469999110911,25.6977740427211,26.1424267634904,27.8050494291917,28.5405713564142,27.8256999918998,26.5721184577659,9.90944761747615,4.70256753910673,10.2211291907828,3.96184882416387,6.62472354872521,5.51973916902785,8.96259694909269,21.9727907477747,23.0051208373317,26.4104931807071,26.790969823544,21.4827460796085,23.1833464661422,20.4406144186113,22.859344885583,24.6638231826192,22.6329604907582,26.2274921692477,25.7317355069792,24.4987356764219,24.5750707485201,15.8005216869478,19.9903179590377,17.8454942479513,21.0132101528997,19.7778077749619,16.9224786253345,20.980136797856,16.7291680772125,19.9668502600868,22.2813162910869,15.5330844293522,16.354921939481,20.5787991779744,14.7542852653674,6.51105479398967
115700,3.96209681682503,10.4319514001125,5.42767033763658,10.3386124276045,12.1545628659653,13.522720119762,8.13993380261609,9.7128590146572,9.95808895383332,10.3704725324571,13.029800282231,19.1028774909841,15.6404051328896,16.5875009237679,14.1640316812592,19.2993215775782,15.9660221549123,17.2656142081358,16.8237227774187,21.3138733455542,17.8666033094791,21.2954363558557,24.2804867660418,27.4978296000378,26.0234374691078,20.8183392783172,17.0828245042702,25.5020941784817,25.2644008508,25.7158299271864,21.0882099673894,26.0958612683785,26.197499202738,25.4067108773805,11.0903071794876,9.70433946096663,12.3822496011055,20.3944494185577,15.9112013118844,16.0626039033158,17.1803494762307,25.7089583729572,22.5021730596431,25.7066339960944,27.4715606253236,28.1345012256515,,26.7474913266104,21.1975024048246,22.6568443165778,18.2814686182736,17.4006467097588,27.4998165870346,16.9936699377065,8.08472270734803,15.2653248383574,13.7313106962883,9.07833262606257,16.0755576963928,11.4344986230272,8.50906612829452,7.59058436382133,25.6844464844077,26.1548856908142,27.7795358978869,28.5581912714226,27.8224055703081,26.5697537995704,9.91526876121347,4.70982000430557,10.2967948976379,3.97433217638115,6.62824187428589,5.57562492196991,8.94638007067777,21.9676968973738,23.0185919328619,26.4120982512102,26.7908660452024,21.5372672938265,23.1949684083346,20.4389933079899,22.8662789586178,24.6487712276035,22.636328720602,26.2237384518647,25.7387982716338,24.4976516464065,24.567086392312,15.8351786977405,20.0064820690956,17.8134227817938,21.0454350093349,19.8062465959594,16.9423525071411,20.971168811548,16.7112605690389,19.998806609774,22.2539953327626,15.6035631889289,16.4089234748734,20.642488949572,14.7664997167128,6.53646345213219
115800,3.98594260906695,10.4138846025117,5.49522373765966,10.45870099602,12.1933848355051,13.5713981303398,8.19968929151944,9.76096977945027,9.99704041146579,10.4000149869197,13.1464041719339,19.1894910558209,15.7440383116648,16.5917143391795,14.1988392529737,19.2947632954607,15.952352345509,17.2783906066748,16.8575212361756,21.3312034949541,17.8707050999282,21.1870658218575,24.2760145824618,27.4822689791543,26.058166486649,20.8131298742108,17.1303662435793,25.4946699626551,25.2698260267451,25.7176213719169,21.0867608845406,26.1499691429277,26.1801991092068,25.413461530433,11.1410779390026,9.72623971059384,12.3449550935597,20.4075800756629,16.0335559885046,16.0722112639738,17.2011479385498,25.733317270531,22.5027677833163,25.7359273692555,27.4584595715348,28.1416212077177,,26.736423962633,21.2174244025196,22.6493951604794,18.3043826151776,17.39989931216,27.503588048153,17.000975292137,8.12484633132619,15.3069541766537,13.7383419534338,9.09560784960782,16.096062444691,11.4271459518575,8.53835976153037,7.58948636692713,25.679843191811,26.1524224272285,27.7818567129562,28.5591686978862,27.8508946884083,26.5655789536233,9.93835505957847,4.71127542835052,10.3405720036178,3.99138309310166,6.6508501509121,5.61737194506261,8.97578624880753,21.9694409655694,22.9991016099195,26.4113426272958,26.7903520840228,21.5844747947726,23.1984778718136,20.388391211918,22.8846591279001,24.6434316736678,22.6374477732585,26.219169355116,25.7389074332971,24.4956152767693,24.5585518646103,15.8555065998919,20.0231089128794,17.8516598588666,21.0487326607859,19.8396198251172,16.9693953702332,20.9477761230368,16.7010129893633,20.0273341614642,22.2464314869856,15.6655041018699,16.4194830475769,20.7048820073874,14.8006443670848,6.56716828651315
115900,3.99042322955691,10.3609389445453,5.59337020131664,10.5220964586813,12.1952449680741,13.5789529104222,8.23814915743432,9.76866810869136,10.0833142665771,10.4582219848272,13.2877373796731,19.2702210261131,15.8101261019303,16.5973792757122,14.2478209328606,19.3374609256219,15.9762193973215,17.2925145111128,16.8978714501033,21.3545663966409,17.9038391103061,21.2822198968984,24.2439324401363,27.4935502266345,26.088051554668,20.8192169122054,17.1773770731644,25.484487601922,25.2761658613032,25.7439793504145,21.0745681899971,26.1857818374711,26.1812469903965,25.4295544594841,11.1494394152621,9.74743294499766,12.2740480499778,20.4105258831577,16.1260250504444,16.0882469486333,17.2098628286478,25.7541754218877,22.5210067316832,25.7710598399383,27.4381088751823,28.1463344575384,,26.7233741792042,21.2266415202256,22.6470168494268,18.3403496029398,17.4500607031639,27.5140960588491,17.0193226259168,8.17576731762478,15.3623763627251,13.64901723063,9.11987829265111,16.1071955757982,11.4147059912733,8.59189827706581,7.60983247987993,25.680111001511,26.1742508516539,27.8074420332016,28.5654028674026,27.9385479945936,26.5510369612141,9.9386760356546,4.71407767433806,10.3796489098045,4.00919400724459,6.65352801551718,5.69843518808091,9.0189320929688,21.9739459793998,23.0262022696561,26.4151228250185,26.788075964861,21.6279249159734,23.2179382775129,20.3826052276666,22.8746176628938,24.6408990359265,22.653781237003,26.2106827199804,25.731148591243,24.4918964938776,24.5435536307756,15.8433143237528,20.0312251032365,17.8360393893776,21.0788238917737,19.871905468982,16.9916160731577,20.9530076184337,16.6802306365827,20.0533831983541,22.2439298866012,15.7321891938438,16.4291986741449,20.766632791823,14.8294368272499,6.61559757622976
116000,4.05272248132088,10.3800187004119,5.66407814030489,10.6052965565112,12.2093848684483,13.4604040598948,8.28821689607772,9.77389822627208,10.2335691868775,10.4918693296325,13.3884189434843,19.357513370042,15.8466712925266,16.6069559207037,14.2974160188907,19.3292786454193,16.0059523928293,17.2915015436874,16.9450959088485,21.3798953180146,17.891650166226,21.1688637772475,24.3947290651399,27.5107388970357,26.125576169984,20.8263888410586,17.2621427353668,25.481814191339,25.2853233448555,25.7503616204126,21.0717823690387,26.2039115536492,26.1630862851228,25.4020100874691,11.1872377518,9.76204380011001,12.2918191065993,20.4262987470494,16.2314944599101,16.0908813496227,17.2258379659046,25.7661482092216,22.506900309313,25.8066181457015,27.4353818738995,28.1601753492924,,26.7137259873176,21.2089814457246,22.6426415709312,18.3671155123754,17.4898440560761,27.5145478087159,17.0432453599313,8.20664387845801,15.3883583558066,13.6385582395952,9.14834594989027,16.1201575938659,11.4294047634545,8.64066810922,7.7032467522248,25.672866886969,26.1955505744993,27.818576490197,28.5640687546564,27.9785603122136,26.54583349974,9.95161896583691,4.72843252814749,10.4230137434788,4.00911700727917,6.66675995211142,5.76389777455372,9.06600049944954,21.9662549429025,23.0297360341474,26.4126848575144,26.8078925011041,21.6947773547899,23.2300868468491,20.3933938399875,22.8657125667166,24.634395549987,22.6575873551685,26.1969715471407,25.7324460354083,24.4955020426056,24.5448862283482,15.8573121387631,19.9793873697978,17.8194249468444,21.0885916369762,19.9112063592267,17.013883965955,20.9447256522171,16.6659105957169,20.0912020106036,22.250387953916,15.7435574698786,16.3952589731694,20.8263709142181,14.8412917164105,6.63989742230835
116100,3.96037472526612,10.4090700304476,5.74781833971774,10.7110438398925,12.22130997235,13.5519865936832,8.33050552716745,9.79443368437127,10.3121789605585,10.4792588091062,13.4775604598452,19.4155461166433,15.8954901527015,16.6229727961384,14.3483712085897,19.3460998371869,16.0068997817303,17.3096379994793,16.9730007565094,21.4224891867082,17.9030914718001,21.2881689578448,24.5108584530521,27.5456343099782,26.1624084582938,20.8190691022805,17.3331571643031,25.4753041334258,25.2927335540835,25.7854808335126,21.0823898153393,26.2576584657959,26.1176769169956,25.4205818353371,11.1650293238132,9.78076533389135,12.3122557476297,20.4624461990588,16.3194324991602,16.1071139252606,17.2589530353065,25.791741451796,22.4948354509107,25.8256931263489,27.4588254218148,28.1815289501947,,26.7028491808081,21.2103843607546,22.6445051473129,18.3946563305055,17.4856721005703,27.5220374325038,17.0586094685629,8.25907262586003,15.4060528234407,13.7802978510561,9.16462307567839,16.1325004672911,11.4273916475744,8.67280219056649,7.75363836713498,25.6711193633681,26.1919275496674,27.8477320341885,28.5845398080145,27.981513970032,26.5345926051685,9.96990302486975,4.7407972815203,10.4667392807087,4.03224695830015,6.69374433900398,5.77316085527519,9.07490427055962,21.9631672990598,23.0398368561259,26.4098820475297,26.7982132228864,21.7590354016181,23.2471076556189,20.3980386820753,22.8894044111417,24.6449281338762,22.6636464763883,26.1976030345001,25.7114387277352,24.488317302428,24.5335788275562,15.8611608131739,20.0122528939452,17.8041692853648,21.0985331389499,19.94986756807,17.048222962449,20.9404240897533,16.6543861831542,20.1376881352101,22.2374029094791,15.7675680530881,16.3824659125061,20.890725095624,14.8706302029713,6.68398730243004
